Sunday Dinner */Supper**,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
Roast Beef,4 oz.,,,,,,,,,,,,,,
*Baked Ham,4 oz.,Ground,1 Serve,,,,,,,,,,,,
*Scalloped Potatoes,1/2 C.,,1 Serve,,,,,,,,,,,,
**Buttered Noodles,1/2 C. ,,1 Serve,,,,,,,,,,,,
*Green Bean Casserole,1/2 C.,,1 Serve,,,,,,,,,,,,
Italian Vegetable,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/** Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz,,,,,,,,,,,,,,
Grilled Cheese,1 oz./1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2oz/1 oz/ 1 slice ,,1 Serve,,,,,,,,,,,,
**Meatball Sub,3 oz./ 1 oz. ,Ground,1 Serve ,,,,,,,,,,,,
Beef Taco,3 oz. ,,,,,,,,,,,,,,
Crispy Chicken Salad,3 oz.,,,,,,,,,,,,,,
Chef Salad,3 oz.,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
* Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
** Vegetable Salad ,1/2 C.,,1 serve ,,,,,,,,,,,,
* /** Dessert,1 serve,,1 serve ,1/2 serve,,,,,,,,,,,
,,,,,,,,,,,,,,,
CYCLE:TWO,,,,,Approved:,,,,,,,,,,
Monday Dinner */Supper  **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
*Roast Turkey,4 oz.,Ground ,1 Serve,,,,,,,,,,,,
** Lemon Pepper Cod,4 oz. ,flaked,1 seve ,,,,,,,,,,,,
* Dressing,1/2 C.,,1 Serve,,,,,,,,,,,,
Potato Pancake,"2-2"" ",,,,,,,,,,,,,,
*Dilled Carrots,1/2 C.,,1 Serve,,,,,,,,,,,,
** Broccoli,1/2 C.,,1 serve ,,,,,,,,,,,,
* Gravy,1 oz. ,1 oz.,1 Serve,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/**Bread Basket ,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C. ,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz,,,,,,,,,,,,,,
Grilled Cheese,1 oz/1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice,,,,,,,,,,,,,,
Meatball Sub,3 oz./1 oz,Ground,,,,,,,,,,,,,
Beef Taco,3 oz ,,,,,,,,,,,,,,
Crispy Chicken Salad,3 oz ,Ground,,,,,,,,,,,,,
Chef Salad,3 oz. ,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
* Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
** Vegetable Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
*/** Dessert,1 serving,,1 serve ,1/2 serve ,,,,,,,,,,,
,,,,,,,,,,,,,,,
Tuesday Dinner */Supper**,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
*Meat Loaf,4 oz.,,1 Serve,,,,,,,,,,,,
** Chicken & Noodles,6 oz.,Ground,1 Serve,,,,,,,,,,,,
Mashed Potato,1/2 C.,,,,,,,,,,,,,,
* Hashbrown Casserole,1/2 C.,,1 Serve,,,,,,,,,,,,
Gravy,1 oz.,1 oz. ,1 Serve,,,,,,,,,,,,
* Creamed Peas,1/2 C. ,,1 Serve,,,,,,,,,,,,
** Scalloped Tomatoes,1/2 C.,,1 serve ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/**Bread Basket ,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C., , ,,,,,,,,,,,,
Cheeseburger,4 oz.,,,,,,,,,,,,,,
Grilled Cheese,1 oz./1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2oz/1 oz/1 slice,,,,,,,,,,,,,,
Meatbal Sub,3 oz./1 oz.,,,,,,,,,,,,,,
Beef Taco,3 oz.,,,,,,,,,,,,,,
Crispy Chicken Salad,3 oz.,,,,,,,,,,,,,,
Chef Salad,3 oz.,,,,,,,,,,,,,,
** Fresh Fruit,1/2 C.,,1 serve ,,,,,,,,,,,,
* Canned Fruit or Salald,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
* Vegetable Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
*/** Dessert,1 serving,,1 serve,1/2 serve,,,,,,,,,,,
CYCLE: TWO,,,,,,Approved:,,,,,,,,,
Wednesday Dinner*/Supper**,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
*Glazed Salmon,4 oz.,Flaked,1 Serve,,,,,,,,,,,,
** Country Fried Steak w/gravy,4 oz.,ground,1 serve ,,,,,,,,,,,,
* Baked Sweet Potato,4 oz. ,,1 Serve,,,,,,,,,,,,
** Hashbrowns,1/2 C.,,1 serve ,,,,,,,,,,,,
*Sauted Spinach,1/2 C.,,1 Serve,,,,,,,,,,,,
Roasted Squash,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz.,,,,,,,,,,,,,,
Grilled Cheese,1 oz./1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/1 slice ,,,,,,,,,,,,,,
Meatball Sub,3 oz.,,,,,,,,,,,,,,
Beef Taco,3 oz.,,,,,,,,,,,,,,
Crispy Chicken Salad,3 oz.,,,,,,,,,,,,,,
Chef Salad,3 oz.,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
**Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce ,1 /2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
** Vegetable Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
* Dessert,1 serving,,1 serve,1/2 serve ,,,,,,,,,,,
CYCLE: TWO,,,,,,Approved: ,,,,,,,,,
CYCLE:TWO,,,,,Approved:,,,,,,,,,,
Thursday Dinner*/Supper**,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
*Chicken Stir Fry,4 oz.,Ground,1 Serve,,,,,,,,,,,,
Spaghetti,1/2 C./3 oz.,Ground,,,,,,,,,,,,,
* Jasmine Rice,1/2 C.,,1 Serve,,,,,,,,,,,,
 **Twice Baked Potato,1/2-110 ct.,,1 serve ,,,,,,,,,,,,
* Green Beans ,1/2 C.,,1 Serve,,,,,,,,,,,,
Sweet & Sour Red Cabbage,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/**Bread Basket,1 Slice ,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz.,,,,,,,,,,,,,,
Grilled Cheese,1 oz/1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice,,,,,,,,,,,,,,
Chicken Caesar Melt,4 oz.,,,,,,,,,,,,,,
** Fish Filet Sandwich,4 oz. ,,1 serve ,,,,,,,,,,,,
Garbage Salad,3 oz.,,,,,,,,,,,,,,
Chef Salad,3 oz.,,,,,,,,,,,,,,
Pizza,3 oz. Meat,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
* Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
**Vegetable Salad,1/2 C. ,,1 serve ,,,,,,,,,,,,
*/** Dessert,1 serving,,1 serve,1/2 serve ,,,,,,,,,,,
CYCLE: TWO,,,,,Approved: ,,,,,,,,,,
Friday Dinner */ Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Ham Loaf,4 oz.,Ground,1 Serve,,,,,,,,,,,,
Fried Shrimp,4 oz.,,,,,,,,,,,,,,
* AuGratin Potato,1/2 C.,,1 Serve,,,,,,,,,,,,
Baked Potato,1/2 - 110 ct.,,,,,,,,,,,,,,
* Corn,1/2 C.,,1 Serve,,,,,,,,,,,,
California Vegetable,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/** Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
** Soup of the Day 1 ,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
** Cheeseburger,4 oz,ground,1 serve ,,,,,,,,,,,,
Grilled Cheese,1 oz./1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice ,,,,,,,,,,,,,,
Chicken Caesar Melt,4 oz.,,,,,,,,,,,,,,
Fish Filet Sandwich,4 oz.,,,,,,,,,,,,,,
Garbage Salad,3 oz.,,,,,,,,,,,,,,
Chef Salad,3 oz.,,,,,,,,,,,,,,
Pizza,3 oz. Meat,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
* Canned Fruit or Salad,1/2 C. ,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
** Apple Sauce,1/2 C.,,1 serve ,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
Vegetable Salad,1/2 C.,,,,,,,,,,,,,,
* /** Dessert,1 serving,,1 serve,1/2 serve ,,,,,,,,,,,
CYCLE: TWO,,,,,Approved: ,,,,,,,,,,
Saturday Dinner */Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Chicken Ala' King,6 oz. ,Ground,1 Serve,,,,,,,,,,,,
* Pastry Shell,1 oz.,,1 Serve,,,,,,,,,,,,
Smoked Pork Chop,4 oz.,Ground,,,,,,,,,,,,,
* Mashed Potato,1/2 C.,,1 Serve,,,,,,,,,,,,
Tri-Colored Potato,1/2 C.,,,,,,,,,,,,,,
* Zucchini,1/2 C.,,1 Serve,,,,,,,,,,,,
Riviera Vegetable,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/**Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz,,,,,,,,,,,,,,
Grilled Cheese,1 oz./1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/1 slice,,,,,,,,,,,,,,
Chicken Caesar Melt,4 oz,,,,,,,,,,,,,,
Fish Filet Sandwich,4 oz. ,,,,,,,,,,,,,,
Garbage Salad,3 oz,,,,,,,,,,,,,,
Chef Salad,3 oz ,,,,,,,,,,,,,,
** Pizza,3 oz. Meat,ground ,1 serve,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
** Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce ,1/2 C.,,,,,,,,,,,,,,
** Tossed Salad,1 C.,,1 serve ,,,,,,,,,,,,
* Vegetable Saad,1/2 C.,,,,,,,,,,,,,,
*/** Dessert,1 serving,,1 Serve,1/2 serve ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CYCLE: TWO,,,,,Approved: , ,,,,,,,,,